relid,year,type_of_violence,best
USA-2012-1-360-13,2012,1,5
USA-2012-1-360-14,2012,1,21
USA-2012-1-360-17,2012,1,8
USA-2012-1-360-52,2012,1,3
USA-2012-1-360-18,2012,1,18
USA-2012-1-360-19,2012,1,8
USA-2012-1-360-20,2012,1,6
USA-2012-1-360-21,2012,1,4
USA-2012-1-360-23,2012,1,10
USA-2012-1-360-22,2012,1,4
USA-2012-1-360-25,2012,1,5
USA-2012-1-360-26,2012,1,3
USA-2012-1-360-27,2012,1,2
USA-2012-1-360-28,2012,1,5
USA-2012-1-360-55,2012,1,1
USA-2012-1-360-29,2012,1,5
USA-2012-1-360-30,2012,1,8
USA-2012-1-360-31,2012,1,2
USA-2012-1-360-32,2012,1,3
USA-2012-1-360-34,2012,1,4
USA-2012-1-360-35,2012,1,6
USA-2012-1-360-36,2012,1,9
USA-2012-1-360-37,2012,1,9
USA-2012-1-360-39,2012,1,4
USA-2012-1-360-43,2012,1,4
USA-2012-1-360-44,2012,1,2
USA-2012-1-360-45,2012,1,5
USA-2012-1-360-46,2012,1,1
USA-2012-1-360-47,2012,1,2
USA-2012-1-360-48,2012,1,1
USA-2012-1-360-49,2012,1,2
USA-2012-1-360-50,2012,1,2
USA-2012-1-360-51,2012,1,4
USA-2012-1-360-54,2012,1,4
USA-2012-1-360-57,2012,1,6
USA-2004-1-360-35.2,2004,1,0
USA-2004-1-360-46.2,2004,1,4
USA-2010-1-360-13.2,2010,1,4
USA-2010-1-360-13.3,2010,1,4
USA-2010-1-360-13.4,2010,1,3
USA-2004-1-360-47.2,2004,1,2
USA-2004-1-360-47.3,2004,1,2
USA-2004-1-360-47.4,2004,1,2
USA-2004-1-360-47.5,2004,1,2
USA-2009-1-360-15.2,2009,1,5
USA-2004-1-360-47.6,2004,1,2
USA-2010-1-360-42,2010,1,10
USA-2010-1-360-65,2010,1,7
USA-2003-1-360-999,2003,1,9
USA-2004-1-360-37,2004,1,0
USA-2005-1-360-3,2005,1,0
USA-2005-1-360-10,2005,1,18
USA-2005-1-360-26,2005,1,0
USA-2008-1-360-13,2008,1,4
USA-2008-1-360-27,2008,1,7
USA-2010-1-360-15,2010,1,0
USA-2010-1-360-37,2010,1,9
USA-2010-1-360-56,2010,1,5
USA-2010-1-360-89,2010,1,0
USA-2010-1-360-106,2010,1,0
USA-2012-1-360-12,2012,1,10
USA-2010-1-360-100.2,2010,1,0
USA-2003-1-360-6,2003,1,2
USA-2001-1-360-43,2001,1,50
USA-2004-1-360-58,2004,1,6
USA-2005-1-360-20,2005,1,32
USA-2005-1-360-27,2005,1,6
USA-2005-1-360-28,2005,1,0
USA-2009-1-360-13,2009,1,6
USA-2002-1-360-32,2002,1,4
USA-2001-1-360-34,2001,1,4
USA-2003-1-360-4,2003,1,11
